Time,Speed,Location,County,State,Lat,Lon,Comments
1245,UNK,Mcalester,Pittsburg,OK,34.94,-95.77,Large trees and power lines down. (TSA)
1251,65,4 N Dow,Pittsburg,OK,34.94,-95.59,(TSA)
1935,UNK,2 NE Green Valley,Clark,NV,36.06,-115.06,Powerline knocked down due to high winds as showers and thunderstorms moved through the Las Vegas Valley. (VEF)
1955,UNK,4 SW Waverly,Lancaster,NE,40.88,-96.59,Building collapsed with people inside. Potential gas leak. (OAX)
1955,UNK,1 NE Waverly,Lancaster,NE,40.92,-96.52,Numerous reports of damage near Waverly... including trains blown off tracks... semis overturned. (OAX)
2120,75,4 NNW Kemp,Kaufman,TX,32.49,-96.25,Gust measured by home weather station. Damage to trees on property. Chicken coop blown away. Time estimated from radar. (FWD)
2125,UNK,4 NNE Kemp,Kaufman,TX,32.49,-96.21,Reports of several trees down near Becker... including one that fell on a house. A construction light was also blown over. Time estimated from radar. (FWD)
2145,UNK,Yantis,Wood,TX,32.93,-95.58,Trees down on multiple county roads in and around the Yantis community. (SHV)
2151,UNK,1 NNW Canton,Van Zandt,TX,32.56,-95.87,Tree down with approximately a 12 inch trunk near SH 64 and FM 859. (FWD)
2204,61,7 ENE Omaha,Douglas,NE,41.3,-95.89,Delayed report. ASOS at Eppley Airfield. Measured wind gust as tornado moved very nearby. (OAX)
2205,UNK,3 NNE Winnsboro,Franklin,TX,33,-95.27,Power poles downed across the southern part of Franklin County... Texas. (SHV)
2205,UNK,5 NNE Winnsboro,Franklin,TX,33.02,-95.27,Trees downed on two structures between Mount Vernon and Winnsboro. (SHV)
2218,58,1 NNE Falls City,Richardson,NE,40.08,-95.59,(OAX)
2220,UNK,4 SE Norfolk,Stanton,NE,42,-97.36,delayed report Roof taken off athletic training center. (OAX)
2222,UNK,Grays Prairie,Kaufman,TX,32.48,-96.35,Trees down on CR 4079. (FWD)
2225,UNK,Pittsburg,Camp,TX,33,-94.96,Extensive trees and powerlines downed across the entire county. (SHV)
2226,UNK,Mount Pleasant,Titus,TX,33.16,-94.98,Numerous trees and powerlines downed in and around the Mount Pleasant area. Three vehicles were impacted by falling trees with rescues ongoing attm. Worst damage was re (SHV)
2230,63,5 S Mount Pleasant,Titus,TX,33.1,-94.97,Measured AWOS wind gust at the Mount Pleasant Airport. (SHV)
2230,UNK,5 NW Pike City,Pike,AR,34.17,-93.63,A few trees were blown down in this area. (LZK)
2240,UNK,5 SSE Omaha,Morris,TX,33.12,-94.7,Numerous trees down in and around the Rocky Branch community. Traffic stuck on highways because of all the downed trees across roadways. (SHV)
2250,UNK,Hope,Hempstead,AR,33.67,-93.59,Trees and power lines down. (SHV)
2301,UNK,3 NE Hammond,Bourbon,KS,37.96,-94.66,Large trees down. (SGF)
2310,UNK,Maud,Bowie,TX,33.33,-94.35,Several trees downed in and around the city of Maud... Texas. (SHV)
2320,UNK,Hughes Springs,Cass,TX,33,-94.63,Trees and power lines down. (SHV)
2330,UNK,Wake Village,Bowie,TX,33.42,-94.11,Trees and powerlines reported down on the Bowie County side of Texarkana. (SHV)
2349,UNK,Malvern,Hot Spring,AR,34.38,-92.82,Large tree blown on top of a car causing considerable damage to the vehicle. (LZK)
0000,UNK,Benton,Saline,AR,34.57,-92.58,Large tree and numerous powerlines are down on Highway 35 South. A tree was also on fire. (LZK)
0000,UNK,3 S Paulden,Yavapai,AZ,34.84,-112.48,Wind from 315 degrees measured at 57 mph. Damage estimate $75...000+ Some rain. (FGZ)
0018,UNK,Allendale Manor,Pulaski,AR,34.67,-92.36,1-inch tree limbs broken; Shingles blown off. (LZK)
0025,UNK,1 SW The Heights,Pulaski,AR,34.77,-92.34,A tree was blown over at this location. (LZK)
0025,UNK,Gibson,Pulaski,AR,34.9,-92.23,Large tree limbs down in Gibson. Winds estimated to be 60 mph. (LZK)
0028,UNK,Autumnbrook,Pulaski,AR,34.84,-92.21,Large tree blown over and resting on a powerline. Numerous people without power. (LZK)
0030,UNK,Vilonia,Faulkner,AR,35.09,-92.21,Trees reported blown down in Vilonia. (LZK)
0045,UNK,Cabot,Lonoke,AR,34.97,-92.02,Trees reported down in the Magness Creek area of Cabot. Numerous power outages reported as well. (LZK)
0048,UNK,1 N Austin,Lonoke,AR,35.01,-91.98,Hardwood fence blown over. (LZK)
0049,UNK,1 SSW Fairland,Ottawa,OK,36.74,-94.85,Numerous large tree limbs down. Time estimated by radar. (TSA)
0055,UNK,Beebe,White,AR,35.08,-91.89,Trees down on houses... powerlines blown over and billboards damaged in town. (LZK)
0100,60,1 N Black Canyon City,Yavapai,AZ,34.08,-112.14,Trained spotted estimated a 60 mph wind gust in Black Canyon City. Damage reported to digital weather station. Time estimated from radar. (FGZ)
0100,UNK,1 NNW Black Canyon City,Yavapai,AZ,34.08,-112.14,Large tree limbs and branches broken in Black Canyon City. Time estimated from radar. (FGZ)
0110,UNK,Searcy,White,AR,35.25,-91.73,Numerous large trees down in Searcy... powerlines also reported down along with fence damage. (LZK)
0115,73,2 N Lorimor,Union,IA,41.16,-94.06,Time estimated from radar. Measured by personal weather station. (DMX)
0138,UNK,Augusta,Woodruff,AR,35.29,-91.36,Multiple large tree branches were blown across Highway 64. (LZK)
0152,UNK,Weldon,Jackson,AR,35.45,-91.23,Numerous trees and powerlines down in Weldon. Power is also out. (LZK)
